alpha,beta,gamma,selected_ranker,selected_k,selected_macro_f1,selected_n_selected,selected_normalized_inference_time,j,guarded,performance_floor
0.5,0.2,0.3,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.40495079828172653,False,
0.5,0.25,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3585739866875236,False,
0.5,0.3,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.31219717509332073,False,
0.5,0.35,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.26582036349911786,False,
0.5,0.4,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.219443551904915,False,
0.5,0.45,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1730667403107121,False,
0.5,0.5,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1266899287165092,False,
0.55,0.0,0.45,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.5396528947324238,False,
0.55,0.05,0.4,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.4994774915322831,False,
0.55,0.1,0.35,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.45672386834387735,False,
0.55,0.15,0.3,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.41037341434178326,False,
0.55,0.2,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3639966027475804,False,
0.55,0.25,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.31761979115337746,False,
0.55,0.3,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2712429795591746,False,
0.55,0.35,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.22486616796497172,False,
0.55,0.4,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.17848935637076882,False,
0.55,0.45,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.13211254477656592,False,
0.6,0.0,0.4,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.49780315788991697,False,
0.6,0.05,0.35,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.457862138325073,False,
0.6,0.1,0.3,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.41510851513666724,False,
0.6,0.15,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.36941921880763706,False,
0.6,0.2,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3230424072134342,False,
0.6,0.25,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2766655956192313,False,
0.6,0.3,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2302887840250284,False,
0.6,0.35,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.18391197243082552,False,
0.6,0.4,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.13753516083662265,False,
0.65,0.0,0.35,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.45595342104741005,False,
0.65,0.05,0.3,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.41624678511786295,False,
0.65,0.1,0.25,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.37349316192945714,False,
0.65,0.15,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3284650232734909,False,
0.65,0.2,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.282088211679288,False,
0.65,0.25,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.23571140008508512,False,
0.65,0.3,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.18933458849088225,False,
0.65,0.35,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.14295777689667935,False,
0.7,0.0,0.3,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.4141036842049032,False,
0.7,0.05,0.25,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.37463143191065285,False,
0.7,0.1,0.2,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.33187780872224704,False,
0.7,0.15,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2875108277393447,False,
0.7,0.2,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.24113401614514185,False,
0.7,0.25,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.19475720455093895,False,
0.7,0.3,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.14838039295673605,False,
0.75,0.0,0.25,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.37225394736239625,False,
0.75,0.05,0.2,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.33301607870344274,False,
0.75,0.1,0.15,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.290262455515037,False,
0.75,0.15,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.24655663220519855,False,
0.75,0.2,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.20017982061099568,False,
0.75,0.25,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.15380300901679278,False,
0.8,0.0,0.2,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.33040421051988933,False,
0.8,0.05,0.15,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.2914007254962327,False,
0.8,0.1,0.1,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.2486471023078269,False,
0.8,0.15,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.20560243667105238,False,
0.8,0.2,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1592256250768495,False,
0.85,0.0,0.15,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.2885544736773824,False,
0.85,0.05,0.1,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.2497853722890226,False,
0.85,0.1,0.05,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.2070317491006168,False,
0.85,0.15,0.0,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.16427812591221103,False,
0.9,0.0,0.1,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.24670473683487557,False,
0.9,0.05,0.05,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.20817001908181254,False,
0.9,0.1,0.0,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.16541639589340676,False,
0.95,0.0,0.05,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.20485499999236864,False,
0.95,0.05,0.0,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.16655466587460244,False,
1.0,0.0,0.0,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.16300526314986175,False,
0.0,0.0,1.0,anova_f,80,0.8308465625069051,80.0,0.9999999999999998,0.9999999999999998,True,0.8298204920852609
0.0,0.05,0.95,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.957246376811594,True,0.8298204920852609
0.0,0.1,0.9,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.9144927536231882,True,0.8298204920852609
0.0,0.15,0.85,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.8717391304347823,True,0.8298204920852609
0.0,0.2,0.8,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.8289855072463767,True,0.8298204920852609
0.0,0.25,0.75,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.7862318840579708,True,0.8298204920852609
0.0,0.3,0.7,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.743478260869565,True,0.8298204920852609
0.0,0.35,0.65,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.7007246376811593,True,0.8298204920852609
0.0,0.4,0.6,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.6579710144927535,True,0.8298204920852609
0.0,0.45,0.55,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.6152173913043477,True,0.8298204920852609
