run,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,planner_inner_scores,macro_f1,weighted_f1,macro_precision,macro_recall,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,precision_Absent,recall_Absent,f1_Absent,support_Absent,precision_Present,recall_Present,f1_Present,support_Present,precision_Unknown,recall_Unknown,f1_Unknown,support_Unknown
EXP-A1,EXP-A1,M3,binary,3,1,r3f1,2593,647,138,0.8809891808346213,0.8181965283907031,0.7121212121212122,0.9242718446601942,0.706766917293233,0.7094339622641509,0.6346125156366981,0.935201529861724,0.7062822538344751,94.0,39.0,476.0,38.0,647.0,132.0,515.0,0.1662537504406572,0.0381915738520773,1.091888,0.652441,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,3,2,r3f2,2585,655,138,0.9038167938931296,0.8443485775813215,0.7426470588235294,0.9460500963391136,0.7829457364341085,0.7622641509433963,0.7024148667253393,0.9474243454607276,0.8080829039364332,101.0,28.0,491.0,35.0,655.0,136.0,519.0,0.1661525609972471,0.096155580110642,0.92407,0.645889,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,3,3,r3f3,2589,651,138,0.9001536098310292,0.8248923341946598,0.6962962962962963,0.9534883720930232,0.7966101694915254,0.7430830039525692,0.6838432852552278,0.9376399655469424,0.7726715155277586,94.0,24.0,492.0,41.0,651.0,135.0,516.0,0.1678908943157665,0.0753312700461801,0.920953,0.678323,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,3,4,r3f4,2597,643,138,0.8849144634525661,0.7970837309160306,0.648854961832061,0.9453125,0.7522123893805309,0.6967213114754098,0.6287852373844093,0.9216662690839694,0.7406885738731412,85.0,28.0,484.0,46.0,643.0,131.0,512.0,0.1791008089732672,0.0554885473092009,1.230668,0.637075,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,4,0,r4f0,2585,655,138,0.8366412213740458,0.7721154935962824,0.6617647058823529,0.882466281310212,0.5960264900662252,0.627177700348432,0.524122322808776,0.8984330726510257,0.6342261771525752,90.0,61.0,458.0,46.0,655.0,136.0,519.0,0.2184388387062799,0.0409390969922584,0.871679,0.617246,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,4,1,r4f1,2596,644,138,0.8881987577639752,0.7820335401693377,0.6030534351145038,0.9610136452241717,0.797979797979798,0.6869565217391305,0.6295195711438378,0.9410591789057036,0.7886005434844592,79.0,20.0,493.0,52.0,644.0,131.0,513.0,0.164014065947515,0.0603267434070347,0.948155,0.631756,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,4,2,r4f2,2593,647,138,0.8825347758887172,0.7881803471609297,0.6287878787878788,0.9475728155339804,0.7545454545454545,0.6859504132231405,0.6183031379057359,0.9268461312150632,0.743264157057347,83.0,27.0,488.0,49.0,647.0,132.0,515.0,0.1745056466694569,0.040936170905446,0.922636,0.864747,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,4,3,r4f3,2589,651,138,0.8878648233486943,0.8308139534883721,0.7333333333333333,0.9282945736434108,0.7279411764705882,0.7306273062730627,0.659830644348363,0.9439850703416596,0.7498035646404932,99.0,37.0,479.0,36.0,651.0,135.0,516.0,0.1676152245482767,0.0840448741208341,0.962197,0.628869,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,4,4,r4f4,2597,643,138,0.8724727838258165,0.7835907681297709,0.6335877862595419,0.93359375,0.7094017094017094,0.6693548387096774,0.5921161545256035,0.909783516221374,0.6616687172710636,83.0,34.0,478.0,48.0,643.0,131.0,512.0,0.1924109860441138,0.0596652414792104,0.908532,0.607372,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M4,binary,0,0,r0f0,2593,647,138,0.848531684698609,0.8090761988820241,0.7424242424242424,0.8757281553398059,0.6049382716049383,0.6666666666666666,0.5749866504511496,0.9159385113268608,0.7001981401539955,98.0,64.0,451.0,34.0,647.0,132.0,515.0,0.2160337805255023,0.0267573415765069,4.980706,0.462777,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
