run,model_id,metric,n_folds,mean,sd,min,max,ci_low,ci_high,ci_kind,formatted
EXP-B1,M7,accuracy,10,0.6725806451612903,0.037287184697633785,0.6290322580645161,0.7258064516129032,0.6459070000836343,0.6992542902389464,95% t-interval of the fold mean,0.6726 +/- 0.0373
EXP-B1,M7,macro_f1,10,0.6017954879917007,0.043298695266986424,0.5492094914889033,0.6732582429990966,0.5708214673129426,0.6327695086704588,95% t-interval of the fold mean,0.6018 +/- 0.0433
EXP-B2,M1,balanced_accuracy,5,0.48878898635477575,0.03034778900958681,0.457876461988304,0.5346491228070175,0.45110722931648795,0.5264707433930635,95% t-interval of the fold mean,0.4888 +/- 0.0303
EXP-B2,M1,accuracy,5,0.5661056568489948,0.022908735709092267,0.532608695652174,0.5913978494623656,0.53766070447465,0.5945506092233397,95% t-interval of the fold mean,0.5661 +/- 0.0229
EXP-B2,M1,macro_f1,5,0.47040754278926933,0.029530603344209382,0.4317166941280416,0.5032515793385358,0.43374045577152887,0.5070746298070098,95% t-interval of the fold mean,0.4704 +/- 0.0295
EXP-B2,M3,balanced_accuracy,5,0.4007675438596491,0.03300192696440789,0.3632127192982455,0.4509320175438596,0.35979023927659376,0.4417448484427044,95% t-interval of the fold mean,0.4008 +/- 0.0330
EXP-B2,M3,accuracy,5,0.7267180925666199,0.022943711216864306,0.7065217391304348,0.7608695652173914,0.6982297123634557,0.7552064727697841,95% t-interval of the fold mean,0.7267 +/- 0.0229
EXP-B2,M3,macro_f1,5,0.38960853759231423,0.04541330602949591,0.3351158645276292,0.4566232899566233,0.3332204704560792,0.44599660472854924,95% t-interval of the fold mean,0.3896 +/- 0.0454
EXP-B2,M4,balanced_accuracy,5,0.4291910331384015,0.05093213010861632,0.3514254385964912,0.4838876705653021,0.36595044083070266,0.49243162544610036,95% t-interval of the fold mean,0.4292 +/- 0.0509
EXP-B2,M4,accuracy,5,0.6095839177185601,0.019214209458170588,0.5869565217391305,0.6304347826086957,0.5857263255804035,0.6334415098567168,95% t-interval of the fold mean,0.6096 +/- 0.0192
EXP-B2,M4,macro_f1,5,0.4204742448052114,0.04891130186840409,0.3442080378250591,0.4747125484837191,0.3597428421699375,0.4812056474404853,95% t-interval of the fold mean,0.4205 +/- 0.0489
EXP-B2,M5,balanced_accuracy,5,0.4283503898635477,0.06859091666373102,0.3585526315789473,0.524975633528265,0.34318351803839825,0.5135172616886972,95% t-interval of the fold mean,0.4284 +/- 0.0686
EXP-B2,M5,accuracy,5,0.668419822346891,0.09972485523634998,0.5268817204301075,0.7717391304347826,0.5445950598738332,0.7922445848199489,95% t-interval of the fold mean,0.6684 +/- 0.0997
EXP-B2,M5,macro_f1,5,0.43283097009848576,0.08103058430607618,0.3535671462829736,0.5496031746031746,0.33221821081221603,0.5334437293847555,95% t-interval of the fold mean,0.4328 +/- 0.0810
EXP-B2,M6,balanced_accuracy,5,0.4224780701754386,0.02901975432563731,0.3859649122807018,0.456140350877193,0.38644528599257677,0.4585108543583004,95% t-interval of the fold mean,0.4225 +/- 0.0290
EXP-B2,M6,accuracy,5,0.7462131837307152,0.016253180959776226,0.7282608695652174,0.7717391304347826,0.7260321940766702,0.7663941733847602,95% t-interval of the fold mean,0.7462 +/- 0.0163
EXP-B2,M6,macro_f1,5,0.41993123299247576,0.03822492095789161,0.369776193305605,0.4658406470487007,0.3724687248048772,0.4673937411800743,95% t-interval of the fold mean,0.4199 +/- 0.0382
EXP-B2,M7,balanced_accuracy,5,0.4202302631578947,0.032529496434364195,0.3859649122807018,0.4736842105263157,0.37983955855564694,0.46062096776014244,95% t-interval of the fold mean,0.4202 +/- 0.0325
EXP-B2,M7,accuracy,5,0.7161056568489949,0.07317618513428581,0.5913978494623656,0.782608695652174,0.6252454222418586,0.8069658914561311,95% t-interval of the fold mean,0.7161 +/- 0.0732
EXP-B2,M7,macro_f1,5,0.41871903238552044,0.042242276499696384,0.369776193305605,0.4858191524858191,0.3662683184536785,0.47116974631736236,95% t-interval of the fold mean,0.4187 +/- 0.0422
