run,rank,model_id,model_name,x,mean,sd,n_folds,pr_auc_mean,pr_auc_sd,prevalence,legend
EXP-A1,1,M6,Soft Voting (equal weights),1.0,0.207505,0.004351,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,2,M1,Logistic Regression,0.0,1.0,0.0,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.01,0.941667,0.1481,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.02,0.944467,0.113368,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.03,0.929232,0.105304,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.04,0.912171,0.094609,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.05,0.913375,0.093601,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.06,0.920372,0.084001,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.07,0.919675,0.075748,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.08,0.911318,0.073312,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.09,0.909992,0.072089,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.1,0.909322,0.074655,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.11,0.89741,0.075615,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.12,0.895814,0.077371,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.13,0.897598,0.076747,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.14,0.893496,0.076515,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
