run,rank,model_id,model_name,x,mean,sd,n_folds,roc_auc_mean,roc_auc_sd,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.81,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.82,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.83,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.84,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.85,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.86,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.87,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.88,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.89,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.9,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.91,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.92,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.93,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.94,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.95,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.96,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.97,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.98,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.99,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),1.0,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,2,M1,Logistic Regression,0.0,0.06718,0.062165,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.01,0.24967,0.101399,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.02,0.358065,0.096887,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.03,0.412758,0.086975,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.04,0.489473,0.083331,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.05,0.54354,0.088965,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.06,0.589479,0.088547,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.07,0.633975,0.080051,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.08,0.669492,0.078881,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.09,0.696201,0.082845,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.1,0.726273,0.081293,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.11,0.750912,0.086698,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.12,0.77225,0.080702,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.13,0.792302,0.077377,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.14,0.811562,0.074997,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.15,0.828415,0.071709,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.16,0.842585,0.072306,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.17,0.862401,0.067999,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.18,0.874136,0.064481,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.19,0.88708,0.060461,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.2,0.89795,0.054831,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.21,0.907575,0.054467,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.22,0.915383,0.051253,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.23,0.922302,0.047318,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.24,0.929793,0.048899,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.25,0.937921,0.046958,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.26,0.946957,0.040136,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.27,0.955113,0.034826,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.28,0.959046,0.033582,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.29,0.961446,0.032212,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.3,0.964766,0.029726,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.31,0.969577,0.026507,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.32,0.97382,0.021653,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.33,0.975931,0.01801,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.34,0.977134,0.01741,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.35,0.980145,0.01428,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.36,0.98285,0.013915,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.37,0.98406,0.013692,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.38,0.984971,0.013086,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.39,0.986471,0.01289,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.4,0.987674,0.013035,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.41,0.988579,0.011313,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.42,0.990373,0.009366,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.43,0.991269,0.009663,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.44,0.992452,0.009052,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.45,0.992452,0.009052,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.46,0.992755,0.00864,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.47,0.993345,0.008869,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.48,0.993639,0.008966,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.49,0.993639,0.008966,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.5,0.99425,0.007988,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.51,0.99425,0.007988,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.52,0.99425,0.007988,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.53,0.99425,0.007988,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.54,0.994555,0.008059,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.55,0.994861,0.007164,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.56,0.994861,0.007164,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.57,0.995768,0.006202,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.58,0.996071,0.005819,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.59,0.996071,0.005819,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.6,0.996376,0.005383,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.61,0.996668,0.004943,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.62,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.63,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.64,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.65,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.66,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.67,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.68,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.69,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.7,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.71,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.72,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.73,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.74,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
EXP-A1,2,M1,Logistic Regression,0.75,0.996973,0.004902,25,0.9221754145146952,0.0192196267158023,M1 Logistic Regression  AUC 0.922
