run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M1,r3f4,long,326,1744,True,27.932000000000002,20.001,2,0.9233128834355828,0.936625349860056,0.9634146341463414,0.9098360655737705,0.7821782178217822,0.8633879781420765,0.8193865591744636,0.9719112355057977,0.9016872843012812,79.0,22.0,222.0,3.0,326.0,82.0,244.0
EXP-A2,binary,M1,r3f4,medium,317,1496,True,12.283,7.6315,2,0.8138801261829653,0.7314955833079501,0.6122448979591837,0.8507462686567164,0.42857142857142855,0.5042016806722689,0.4034973117236701,0.8416844349680171,0.5792797603694484,30.0,40.0,228.0,19.0,317.0,49.0,268.0
EXP-A2,binary,M1,r4f0,long,387,1744,True,30.253,20.016,2,0.7906976744186046,0.8232714138286894,0.8921568627450981,0.7543859649122807,0.5652173913043478,0.6920152091254753,0.577899949579295,0.8924320605435156,0.7501810136129197,91.0,70.0,215.0,11.0,387.0,102.0,285.0
EXP-A2,binary,M1,r4f0,medium,268,1496,True,11.44,6.3335,2,0.8097014925373134,0.8281799899446958,0.8529411764705882,0.8034188034188035,0.38666666666666666,0.5321100917431193,0.486609063828975,0.9035947712418302,0.5178656927887751,29.0,46.0,188.0,5.0,268.0,34.0,234.0
EXP-A2,binary,M1,r4f1,long,335,1744,True,26.994,20.079,2,0.9313432835820895,0.9422451711608337,0.963855421686747,0.9206349206349206,0.8,0.8743169398907104,0.8344464678966186,0.9782941288965386,0.9180761749406748,80.0,20.0,232.0,3.0,335.0,83.0,252.0
EXP-A2,binary,M1,r4f1,medium,309,1496,True,11.666,5.3055,2,0.7799352750809061,0.76772030651341,0.75,0.7854406130268199,0.391304347826087,0.5142857142857142,0.4241587211487029,0.8696519795657727,0.5523280701677926,36.0,56.0,205.0,12.0,309.0,48.0,261.0
EXP-A2,binary,M1,r4f2,long,329,1744,True,30.7485,20.027,2,0.8844984802431611,0.9107142857142857,0.9642857142857143,0.8571428571428571,0.6982758620689655,0.81,0.7496761483089686,0.9639941690962099,0.8686821749955009,81.0,35.0,210.0,3.0,329.0,84.0,245.0
EXP-A2,binary,M1,r4f2,medium,318,1496,True,12.6615,6.6075,2,0.8050314465408805,0.7224537037037038,0.6041666666666666,0.8407407407407408,0.4027777777777778,0.48333333333333334,0.3805733170279342,0.873070987654321,0.5554092616376927,29.0,43.0,227.0,19.0,318.0,48.0,270.0
EXP-A2,binary,M1,r4f3,long,360,1744,True,29.3835,20.001,2,0.9027777777777778,0.9143124737184143,0.9405940594059405,0.888030888030888,0.7661290322580645,0.8444444444444444,0.7834327623560834,0.9486983447379487,0.808935671835394,95.0,29.0,230.0,6.0,360.0,101.0,259.0
EXP-A2,binary,M1,r4f3,medium,291,1496,True,12.837,7.8495,2,0.8144329896907216,0.792858777752346,0.7647058823529411,0.8210116731517509,0.3611111111111111,0.49056603773584906,0.4360195433448527,0.8912794689860379,0.5336546286304709,26.0,46.0,211.0,8.0,291.0,34.0,257.0
EXP-A2,binary,M1,r4f4,long,333,1744,True,29.829,20.039,2,0.8858858858858859,0.8921399885255307,0.9047619047619048,0.8795180722891566,0.7169811320754716,0.8,0.7312141429365421,0.9355517307324536,0.7705719261883687,76.0,30.0,219.0,8.0,333.0,84.0,249.0
EXP-A2,binary,M1,r4f4,medium,310,1496,True,11.556999999999999,7.3645,2,0.8096774193548387,0.7130895558611763,0.574468085106383,0.8517110266159695,0.4090909090909091,0.4778761061946903,0.3733808861932419,0.7872340425531915,0.47870288440263875,27.0,39.0,224.0,20.0,310.0,47.0,263.0
EXP-A2,binary,M3,r0f0,long,383,1744,True,30.72,20.001,2,0.8172323759791122,0.8325894604964372,0.8604651162790697,0.8047138047138047,0.5606060606060606,0.6788990825688074,0.5840393409857381,0.8921775898520085,0.6336611811605222,74.0,58.0,239.0,12.0,383.0,86.0,297.0
