run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M1,r0f0,clean,75,384,True,17.93783685333333,3,0.5466666666666666,0.46361111111111114,0.4734391534391535,0.5992973544973546,0.556054131054131,0.46361111111111114,75.0,3.0,0.6497930453308984,0.775,0.62,0.6888888888888889,50.0,0.7777777777777778,0.4375,0.56,16.0,0.11538461538461539,0.3333333333333333,0.17142857142857143,9.0
EXP-B2,pascal_b,M1,r0f0,low_quality_other,13,63,False,17.307088153846152,1,0.46153846153846156,0.46153846153846156,0.21052631578947367,0.631578947368421,0.3333333333333333,0.15384615384615385,13.0,3.0,,1.0,0.46153846153846156,0.631578947368421,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f0,noisy,4,14,False,3.6767112500000003,2,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f1,clean,80,384,True,16.2013022875,3,0.525,0.4640875693507273,0.43846153846153846,0.5454166666666667,0.4376068376068376,0.4640875693507273,80.0,3.0,0.6402024956980662,0.717948717948718,0.5384615384615384,0.6153846153846154,52.0,0.46153846153846156,0.631578947368421,0.5333333333333333,19.0,0.13333333333333333,0.2222222222222222,0.16666666666666666,9.0
EXP-B2,pascal_b,M1,r0f1,low_quality_other,12,63,False,20.850760166666667,1,0.5833333333333334,0.5833333333333334,0.24561403508771928,0.7368421052631579,0.3333333333333333,0.19444444444444445,12.0,3.0,,1.0,0.5833333333333334,0.7368421052631579,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f2,clean,78,384,True,17.314210717948722,3,0.5769230769230769,0.5429445282386459,0.5096050014208582,0.6082497212931995,0.5179038281979459,0.5429445282386459,78.0,3.0,0.6801215093410281,0.775,0.5961538461538461,0.6739130434782609,52.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0,0.19047619047619047,0.4444444444444444,0.26666666666666666,9.0
EXP-B2,pascal_b,M1,r0f2,low_quality_other,14,63,False,20.485947214285716,3,0.6428571428571429,0.4090909090909091,0.38730158730158726,0.65578231292517,0.37777777777777777,0.4090909090909091,14.0,3.0,0.6596736596736598,0.8,0.7272727272727273,0.7619047619047619,11.0,0.3333333333333333,0.5,0.4,2.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M1,r0f2,noisy,1,14,False,4.292483,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f3,clean,75,384,True,16.52367492,3,0.5466666666666666,0.49862745098039224,0.4791435954226652,0.584953857511997,0.49385964912280705,0.49862745098039224,75.0,3.0,0.6949257182646603,0.75,0.54,0.627906976744186,50.0,0.631578947368421,0.7058823529411765,0.6666666666666666,17.0,0.1,0.25,0.14285714285714285,8.0
EXP-B2,pascal_b,M1,r0f3,low_quality_other,10,63,False,20.5587178,2,0.6,0.3333333333333333,0.25,0.675,0.2857142857142857,0.2222222222222222,10.0,3.0,,0.8571428571428571,0.6666666666666666,0.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
