run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M4,r2f0,medium,58,116,True,8.9420295,5.749297,4,0.6724137931034483,0.6144345238095238,0.6026563911472448,0.6656212036258293,0.5959821428571428,0.6144345238095238,58.0,4.0,0.8748997740160935,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0,0.8125,0.8125,0.8125,16.0,0.3333333333333333,0.42857142857142855,0.375,7.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M4,r2f0,short,4,8,False,1.441882,0.936372,2,0.75,0.5,0.25,0.75,0.25,0.25,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r2f1,medium,58,116,True,9.0,6.818934,4,0.7413793103448276,0.7151785714285714,0.6816849816849817,0.7274472653782997,0.6924522845575477,0.7151785714285714,58.0,4.0,0.9148051948051948,0.5714285714285714,0.2857142857142857,0.38095238095238093,14.0,0.7368421052631579,0.875,0.8,16.0,0.46153846153846156,0.75,0.5714285714285714,8.0,1.0,0.95,0.9743589743589743,20.0
EXP-B1,pascal_a,M4,r2f1,short,4,8,False,4.1451475,1.645238,3,0.25,0.3333333333333333,0.1,0.1,0.0625,0.25,4.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r3f0,medium,60,116,True,9.0,5.955692,4,0.7,0.6607638888888889,0.6357989086647624,0.6709926389804439,0.626984126984127,0.6607638888888889,60.0,4.0,0.88954480466429,0.3333333333333333,0.2,0.25,15.0,0.7142857142857143,0.9375,0.8108108108108109,16.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M4,r3f0,short,2,8,False,0.936372,0.936372,2,0.5,0.5,0.25,0.5,0.25,0.25,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r3f1,medium,56,116,True,8.9420295,5.749297,4,0.6785714285714286,0.6950892857142856,0.6047867513611616,0.6622374902774177,0.6323717948717948,0.6950892857142856,56.0,4.0,0.8831379322562358,0.4,0.14285714285714285,0.21052631578947367,14.0,0.8461538461538461,0.6875,0.7586206896551724,16.0,0.3333333333333333,1.0,0.5,6.0,0.95,0.95,0.95,20.0
EXP-B1,pascal_a,M4,r3f1,short,6,8,False,3.3494105,1.645238,3,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.125,0.25,6.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r4f0,medium,56,116,True,8.9420295,5.749297,4,0.6964285714285714,0.65,0.6232692307692308,0.6899381868131869,0.6177244582043344,0.65,56.0,4.0,0.8854200542005419,0.4,0.26666666666666666,0.32,15.0,0.8235294117647058,0.9333333333333333,0.875,15.0,0.3,0.5,0.375,6.0,0.9473684210526315,0.9,0.9230769230769231,20.0
EXP-B1,pascal_a,M4,r4f0,short,6,8,False,1.7963149999999999,0.936372,2,0.16666666666666666,0.125,0.1,0.26666666666666666,0.25,0.0625,6.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.25,0.4,4.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r4f1,medium,60,116,True,9.0,5.849592,4,0.6666666666666666,0.5986227824463118,0.597666917788869,0.6637167655460339,0.6404667795972143,0.5986227824463118,60.0,4.0,0.8822580009422036,0.391304347826087,0.6428571428571429,0.4864864864864865,14.0,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0,0.4,0.2222222222222222,0.2857142857142857,9.0,0.9523809523809523,1.0,0.975609756097561,20.0
EXP-B1,pascal_a,M4,r4f1,short,2,8,False,4.2136055,3.463424,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r0f0,medium,59,116,True,8.884059,5.749297,4,0.6779661016949152,0.6229166666666667,0.631472693972694,0.6822668856567162,0.6465643274853801,0.6229166666666667,59.0,4.0,0.9025165996224478,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0,0.75,0.75,0.75,16.0,0.5,0.375,0.42857142857142855,8.0,0.9473684210526315,0.9,0.9230769230769231,20.0
EXP-B1,pascal_a,M5,r0f0,short,3,8,False,0.936372,0.936372,2,0.6666666666666666,0.5,0.2,0.5333333333333333,0.16666666666666666,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r0f1,medium,57,116,True,9.0,5.849592,4,0.6842105263157895,0.6571428571428571,0.6189354848797574,0.6502447757132458,0.6414705882352941,0.6571428571428571,57.0,4.0,0.8590918099851736,0.6,0.21428571428571427,0.3157894736842105,14.0,0.7058823529411765,0.75,0.7272727272727273,16.0,0.5,0.7142857142857143,0.5882352941176471,7.0,0.76,0.95,0.8444444444444444,20.0
EXP-B1,pascal_a,M5,r0f1,short,5,8,False,3.463424,1.947392,3,0.8,0.6666666666666666,0.45,0.72,0.41666666666666663,0.5,5.0,4.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r1f0,medium,59,116,True,9.0,5.749297,4,0.6779661016949152,0.6491071428571429,0.603813882532418,0.6517731321671902,0.6029761904761904,0.6491071428571429,59.0,4.0,0.9069714200528154,0.42857142857142855,0.1875,0.2608695652173913,16.0,0.75,0.9375,0.8333333333333334,16.0,0.3333333333333333,0.5714285714285714,0.42105263157894735,7.0,0.9,0.9,0.9,20.0
EXP-B1,pascal_a,M5,r1f0,short,3,8,False,0.936372,0.936372,2,0.3333333333333333,0.25,0.125,0.3333333333333333,0.125,0.125,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r1f1,medium,57,116,True,8.884059,5.849592,4,0.631578947368421,0.5331730769230769,0.5281135531135531,0.6229162650215281,0.537061403508772,0.5331730769230769,57.0,4.0,0.8671341997888165,0.26666666666666666,0.3076923076923077,0.2857142857142857,13.0,0.631578947368421,0.75,0.6857142857142857,16.0,0.25,0.125,0.16666666666666666,8.0,1.0,0.95,0.9743589743589743,20.0
EXP-B1,pascal_a,M5,r1f1,short,5,8,False,3.463424,1.947392,3,0.2,0.16666666666666666,0.1,0.16,0.08333333333333333,0.125,5.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.4,2.0,0.0,0.0,0.0,0.0
