method,outer_fold,objective,score,threshold,sensitivity,specificity,weights_sum,n_candidates,n_iterations,moved_from_start,seconds,w_M3,w_M4,w_M5
grid,r4f2,balanced_accuracy,0.8587697407967358,0.3486353384986008,0.8592870544090057,0.858252427184466,1.0,232,0,0.0,8.348432099970523,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r4f2,balanced_accuracy,0.8587697407967358,0.3486353384986008,0.8592870544090057,0.858252427184466,1.0,4,1,0.0,0.20396270003402606,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r4f2,balanced_accuracy,0.8585074409369934,0.2913335636248182,0.874296435272045,0.8427184466019417,1.0,52,13,0.3975871636863532,0.061358599981758744,0.09050309517678996,0.2681663446367522,0.641330560186458
equal,r4f3,balanced_accuracy,0.8500526909014268,0.3283856323464185,0.8603773584905661,0.8397280233122875,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r4f3,balanced_accuracy,0.8500526909014268,0.3283856323464185,0.8603773584905661,0.8397280233122875,1.0,232,0,0.0,8.07245109998621,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r4f3,balanced_accuracy,0.8500526909014268,0.3283856323464185,0.8603773584905661,0.8397280233122875,1.0,4,1,0.0,0.17050110001582652,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r4f3,balanced_accuracy,0.8499688436408954,0.28592480747293936,0.8660377358490566,0.8338999514327343,1.0,40,10,0.2909006804641372,0.04751470003975555,0.24923714208323977,0.18300815662001765,0.5677547012967427
equal,r4f4,balanced_accuracy,0.8637193389504032,0.33364904669135953,0.8670411985018727,0.8603974793989336,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r4f4,balanced_accuracy,0.8637193389504032,0.33364904669135953,0.8670411985018727,0.8603974793989336,1.0,232,0,0.0,8.08450240001548,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r4f4,balanced_accuracy,0.8637193389504032,0.33364904669135953,0.8670411985018727,0.8603974793989336,1.0,4,1,0.0,0.16936559998430312,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r4f4,balanced_accuracy,0.8607882597068739,0.27864990471461126,0.8820224719101124,0.8395540475036355,1.0,52,13,0.3002144501543814,0.04996440000832081,0.12758749766082303,0.32081194295504073,0.5516005593841363
