model_id,kind,feature,importance,scoring,n_repeats,n_scored_rows,computed_on,rank,importance_std
M4,permutation,freq_band_power_150_250,0.002253604001176757,balanced_accuracy,10,647,held-out fold,16,0.0016555070634179155
M4,permutation,freq_flux_mean,0.002146954986760774,balanced_accuracy,10,647,held-out fold,17,0.0014807578964058377
M4,permutation,mfcc_02_mean,0.002146954986760774,balanced_accuracy,10,647,held-out fold,17,0.0015431017884750722
M4,permutation,dwt_cD1_mean_abs,0.0021373933509855835,balanced_accuracy,10,647,held-out fold,19,0.0004449102616461673
M4,permutation,mfcc_01_std,0.002068990879670429,balanced_accuracy,10,647,held-out fold,20,0.001939961048615203
M4,permutation,freq_spectral_entropy,0.0020403059723448137,balanced_accuracy,10,647,held-out fold,21,0.00038834951456308
M4,permutation,mfcc_06_std,0.0018748161223888782,balanced_accuracy,10,647,held-out fold,22,0.0019955564073994144
M4,permutation,mfcc_01_mean,0.001846131215063218,balanced_accuracy,10,647,held-out fold,23,0.00261758650144874
M4,permutation,dwt_cD4_mean_abs,0.0017777287437481081,balanced_accuracy,10,647,held-out fold,24,0.0018216948604378106
M4,permutation,chroma_02_mean,0.0016997646366577856,balanced_accuracy,10,647,held-out fold,25,0.0019333447114719975
M4,permutation,dwt_cD5_entropy,0.001690203000882562,balanced_accuracy,10,647,held-out fold,26,0.0018372656343848552
M4,permutation,dwt_cD4_entropy,0.001690203000882551,balanced_accuracy,10,647,held-out fold,27,0.002027573785473633
M4,permutation,mfcc_10_mean,0.0015151515151514694,balanced_accuracy,10,647,held-out fold,28,0.0018556740475629576
M4,permutation,dwt_cD2_mean_abs,0.001457781700500127,balanced_accuracy,10,647,held-out fold,29,0.00077669902912621
M4,permutation,time_shannon_entropy,0.0013209767578699183,balanced_accuracy,10,647,held-out fold,30,0.0018566742922253416
M4,permutation,freq_rolloff85_std,0.0013209767578699072,balanced_accuracy,10,647,held-out fold,31,0.0020451772225552386
M4,permutation,freq_flatness_std,0.001320976757869885,balanced_accuracy,10,647,held-out fold,32,0.0026556270472322028
M4,permutation,time_kurtosis,0.0013114151220946836,balanced_accuracy,10,647,held-out fold,33,0.0019527492020501565
M4,permutation,mfcc_09_std,0.001039276257722832,balanced_accuracy,10,647,held-out fold,34,0.0016071906297316179
M4,permutation,dwt_cD3_std,0.0010010297146219038,balanced_accuracy,10,647,held-out fold,35,0.0020615596774879383
M4,permutation,freq_rolloff95_std,0.0008355398646660462,balanced_accuracy,10,647,held-out fold,36,0.0016609812697977633
M4,permutation,time_var,0.0007575757575757347,balanced_accuracy,10,647,held-out fold,37,0.0015151515151514694
M4,permutation,freq_total_power,0.0007575757575757347,balanced_accuracy,10,647,held-out fold,37,0.0015151515151514694
M4,permutation,mfcc_03_std,0.0007575757575757347,balanced_accuracy,10,647,held-out fold,37,0.0015151515151514694
M4,permutation,chroma_06_mean,0.0007575757575757347,balanced_accuracy,10,647,held-out fold,37,0.0015151515151514694
M4,permutation,env_peak_rate,0.0007480141218004999,balanced_accuracy,10,647,held-out fold,41,0.0016281584880601802
M4,permutation,mfcc_10_delta_mean,0.0007480141218004887,balanced_accuracy,10,647,held-out fold,42,0.0018402202331489251
M4,permutation,dwt_cA5_entropy,0.0007384524860252428,balanced_accuracy,10,647,held-out fold,43,0.002159970655167553
M4,permutation,dwt_cD3_entropy,0.0007384524860252428,balanced_accuracy,10,647,held-out fold,43,0.002462530707426976
M4,permutation,time_rms,0.0006604883789349536,balanced_accuracy,10,647,held-out fold,45,0.001589848997401169
M4,permutation,time_hjorth_activity,0.0006604883789349536,balanced_accuracy,10,647,held-out fold,45,0.001589848997401169
M4,permutation,chroma_08_mean,0.0006509267431597188,balanced_accuracy,10,647,held-out fold,47,0.0017519983836850352
M4,permutation,dwt_cD2_energy,0.0006031185642836001,balanced_accuracy,10,647,held-out fold,48,0.003121147908111818
M4,permutation,dwt_cD4_std,0.0005634010002941725,balanced_accuracy,10,647,held-out fold,49,0.001655507063417893
M4,permutation,mfcc_03_delta_mean,0.0005538393645189265,balanced_accuracy,10,647,held-out fold,50,0.0019564551548756953
M4,permutation,dwt_cA5_mean_abs,0.0005251544571932664,balanced_accuracy,10,647,held-out fold,51,0.002326237568849487
M4,permutation,freq_band_power_350_400,0.0005251544571932554,balanced_accuracy,10,647,held-out fold,52,0.001906766532441112
M4,permutation,dwt_cD5_std,0.0003883495145631244,balanced_accuracy,10,647,held-out fold,53,0.0006440048136612719
M4,permutation,chroma_04_std,0.00037878787878786735,balanced_accuracy,10,647,held-out fold,54,0.001136363636363602
M4,permutation,chroma_05_std,0.00037878787878786735,balanced_accuracy,10,647,held-out fold,54,0.001136363636363602
M4,permutation,mfcc_02_std,0.0003787878787878451,balanced_accuracy,10,647,held-out fold,56,0.0020398351542175986
M4,permutation,time_crest_factor,0.00037878787878782295,balanced_accuracy,10,647,held-out fold,57,0.0026515151515151413
M4,permutation,mfcc_07_delta_mean,0.00028170050014708625,balanced_accuracy,10,647,held-out fold,58,0.0012040377860749996
M4,permutation,chroma_05_mean,0.00028170050014708625,balanced_accuracy,10,647,held-out fold,58,0.0012040377860749994
M4,permutation,mfcc_01_delta_mean,0.00028170050014705297,balanced_accuracy,10,647,held-out fold,60,0.0028150360067341024
M4,permutation,time_autocorr_peak_lag,0.00018461312150630516,balanced_accuracy,10,647,held-out fold,61,0.001260650525863765
M4,permutation,chroma_06_std,0.00018461312150630516,balanced_accuracy,10,647,held-out fold,61,0.001260650525863765
M4,permutation,time_max,9.708737864071449e-05,balanced_accuracy,10,647,held-out fold,63,0.0028210173013597287
M4,permutation,mfcc_12_mean,8.752574286551296e-05,balanced_accuracy,10,647,held-out fold,64,0.003137543846303734
M4,permutation,chroma_12_std,7.796410709027812e-05,balanced_accuracy,10,647,held-out fold,65,0.0016696806378715926
M4,permutation,time_mean,0.0,balanced_accuracy,10,647,held-out fold,66,0.0
M4,permutation,mfcc_12_std,0.0,balanced_accuracy,10,647,held-out fold,66,0.0
M4,permutation,mfcc_11_delta_mean,0.0,balanced_accuracy,10,647,held-out fold,66,0.0
M4,permutation,chroma_07_std,0.0,balanced_accuracy,10,647,held-out fold,66,0.0
M4,permutation,chroma_09_std,0.0,balanced_accuracy,10,647,held-out fold,66,0.0
M4,permutation,chroma_11_std,0.0,balanced_accuracy,10,647,held-out fold,66,0.0
