search,label,family,objective,model_id,step,best_so_far
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,4,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,5,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,6,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,7,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,8,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,9,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,10,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,11,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,12,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,13,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,14,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,15,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,16,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,17,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,18,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,19,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,20,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,21,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,22,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,23,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,24,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,25,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,26,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,27,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,28,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,29,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,30,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,31,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,32,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,33,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,34,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,35,0.805059
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,36,0.805669
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,37,0.805669
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,38,0.805669
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,39,0.805669
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,40,0.805669
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,1,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,2,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,3,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,4,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,5,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,6,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,7,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,8,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,9,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,10,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,11,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,12,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,13,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,14,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,15,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,16,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,17,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,18,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,19,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,20,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,21,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,22,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,23,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,24,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,25,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,26,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,27,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,28,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,29,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,30,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,31,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,32,0.846413
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,33,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,34,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,35,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,36,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,37,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,38,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,39,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M4,40,0.846834
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,1,0.84115
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,2,0.84115
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,3,0.84115
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,4,0.84115
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,5,0.843029
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,6,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,7,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,8,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,9,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,10,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,11,0.846453
