exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,params,note
EXP-B1,M5,pascal_a,2,0,r2f0,62,62,138,0.7580645161290323,0.7286764705882354,0.7310549100022784,0.7549188219816403,0.7357007575757576,0.7286764705882354,62.0,4.0,0.8540923263740849,0.6,0.6,0.6,15.0,0.8125,0.7647058823529411,0.7878787878787878,17.0,0.6666666666666666,0.6,0.631578947368421,10.0,0.8636363636363636,0.95,0.9047619047619048,20.0,0.49736189387024976,0.25957940940621843,1.887853,0.00628,{},config defaults
EXP-B1,M5,pascal_a,2,1,r2f1,62,62,138,0.7096774193548387,0.6800653594771242,0.68052999631947,0.7153208986825286,0.6826141640866873,0.6800653594771242,62.0,4.0,0.8389231249650531,0.47058823529411764,0.5,0.48484848484848486,16.0,0.8125,0.7647058823529411,0.7878787878787878,17.0,0.5,0.5555555555555556,0.5263157894736842,9.0,0.9473684210526315,0.9,0.9230769230769231,20.0,0.5463615620378697,0.2734038236950271,2.126743,0.009317,{},config defaults
EXP-B1,M5,pascal_a,3,0,r3f0,62,62,138,0.6451612903225806,0.5727941176470588,0.5428349944629014,0.598128103454435,0.5665217391304348,0.5727941176470588,62.0,4.0,0.8717461043337138,0.3,0.2,0.24,15.0,0.64,0.9411764705882353,0.7619047619047619,17.0,0.5,0.2,0.2857142857142857,10.0,0.8260869565217391,0.95,0.8837209302325582,20.0,0.6404742548101453,0.3244887984882495,2.121002,0.006494,{},config defaults
EXP-B1,M5,pascal_a,3,1,r3f1,62,62,138,0.6290322580645161,0.5664011437908497,0.5769491968133734,0.6438317036487802,0.5932330827067669,0.5664011437908497,62.0,4.0,0.8149434332797927,0.3684210526315789,0.4375,0.4,16.0,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0,0.2,0.2222222222222222,0.21052631578947367,9.0,0.9473684210526315,0.9,0.9230769230769231,20.0,0.6567997119462635,0.301807037924108,2.177079,0.006564,{},config defaults
EXP-B1,M5,pascal_a,4,0,r4f0,62,62,138,0.5806451612903226,0.5308823529411765,0.529036729036729,0.5779961102541749,0.5381350267379679,0.5308823529411765,62.0,4.0,0.7816788833645842,0.2,0.2,0.2,15.0,0.6363636363636364,0.8235294117647058,0.717948717948718,17.0,0.375,0.3,0.3333333333333333,10.0,0.9411764705882353,0.8,0.8648648648648649,20.0,0.7519292057115352,0.3507721851116647,1.934926,0.006929,{},config defaults
EXP-B1,M5,pascal_a,4,1,r4f1,62,62,138,0.6451612903225806,0.6302696078431372,0.6209524552947069,0.6341672893585885,0.6275,0.6302696078431372,62.0,4.0,0.8303219218026286,0.4,0.375,0.3870967741935484,16.0,0.75,0.5294117647058824,0.6206896551724138,17.0,0.6,0.6666666666666666,0.631578947368421,9.0,0.76,0.95,0.8444444444444444,20.0,0.6701533785311248,0.3346184520286179,1.96409,0.006538,{},config defaults
EXP-B1,M6,pascal_a,0,0,r0f0,62,62,138,0.6774193548387096,0.6306372549019608,0.6318568598916646,0.6746767412808816,0.636395202020202,0.6306372549019608,62.0,4.0,0.9054543339430698,0.4375,0.4666666666666667,0.45161290322580644,15.0,0.8,0.7058823529411765,0.75,17.0,0.4444444444444444,0.4,0.42105263157894735,10.0,0.8636363636363636,0.95,0.9047619047619048,20.0,0.41905156932001497,0.17837423552123394,6.139202,0.479131,{},config defaults
EXP-B1,M6,pascal_a,0,1,r0f1,62,62,138,0.6774193548387096,0.6587622549019607,0.640320762451322,0.6676407777902663,0.631827731092437,0.6587622549019607,62.0,4.0,0.8820557924769581,0.4166666666666667,0.3125,0.35714285714285715,16.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0,0.5,0.6666666666666666,0.5714285714285714,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.4305745272269522,0.1189075870392382,6.318089,0.283052,{},config defaults
EXP-B1,M6,pascal_a,1,0,r1f0,62,62,138,0.7096774193548387,0.699407679738562,0.6487902341560877,0.6825452281785878,0.6624649859943977,0.699407679738562,62.0,4.0,0.8968485492022896,0.5,0.1875,0.2727272727272727,16.0,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0,0.4117647058823529,0.7777777777777778,0.5384615384615384,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.4111114598888426,0.17670367858592476,6.404571,0.298983,{},config defaults
EXP-B1,M6,pascal_a,1,1,r1f1,62,62,138,0.6935483870967742,0.6286764705882353,0.6245421245421245,0.6854306983339241,0.6430555555555556,0.6286764705882353,62.0,4.0,0.8722333300477856,0.45,0.6,0.5142857142857142,15.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.4,0.2,0.26666666666666666,10.0,1.0,0.95,0.9743589743589743,20.0,0.4283795977009426,0.13875160694504424,5.844476,0.296388,{},config defaults
EXP-B1,M6,pascal_a,2,0,r2f0,62,62,138,0.6290322580645161,0.5517156862745098,0.5410823170731708,0.6140981510621558,0.5358309990662932,0.5517156862745098,62.0,4.0,0.8794556802535527,0.29411764705882354,0.3333333333333333,0.3125,15.0,0.7777777777777778,0.8235294117647058,0.8,17.0,0.16666666666666666,0.1,0.125,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.42391041176943073,0.1752597883402039,6.016658,0.300956,{},config defaults
EXP-B1,M6,pascal_a,2,1,r2f1,62,62,138,0.7419354838709677,0.7041462418300654,0.6931216931216931,0.7387779484553678,0.6974681020733653,0.7041462418300654,62.0,4.0,0.9017575915381193,0.6363636363636364,0.4375,0.5185185185185185,16.0,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0,0.4166666666666667,0.5555555555555556,0.47619047619047616,9.0,1.0,1.0,1.0,20.0,0.40293444721941335,0.200456997289778,6.188634,0.292022,{},config defaults
EXP-B1,M6,pascal_a,3,0,r3f0,62,62,138,0.6935483870967742,0.6247549019607843,0.6153738150488792,0.6709203399089626,0.6743697478991596,0.6247549019607843,62.0,4.0,0.8902951224133953,0.4117647058823529,0.4666666666666667,0.4375,15.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0,0.6666666666666666,0.2,0.3076923076923077,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.4261261429820743,0.099681764051612,6.720485,0.293491,{},config defaults
