run,task,model_id,quality_group,n_records_corpus,reported,n_folds,n_units_mean,mean_snr_proxy_db,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
EXP-B2,pascal_b,M5,noisy,14,False,4,3.5,3.657809223214286,,,,,0.7875,0.25289984842489194,,,0.41388888888888886,0.18929694486000911,0.8035714285714286,0.24310211734121592
EXP-B2,pascal_b,M6,clean,384,True,5,76.8,17.16306968733536,,,,,0.4173533380963722,0.032128578548783294,,,0.40609398547858183,0.04427890448627233,0.7163967611336033,0.019764808266047238
EXP-B2,pascal_b,M6,low_quality_other,63,False,5,12.6,19.69695673838828,,,,,0.75,0.25,,,0.4104912280701754,0.11400032158597546,0.9371428571428572,0.0627596646756823
EXP-B2,pascal_b,M6,noisy,14,False,4,3.5,3.657809223214286,,,,,0.7291666666666666,0.20833333333333331,,,0.3535353535353535,0.12589171108309705,0.7142857142857143,0.25421614885788835
EXP-B2,pascal_b,M7,clean,384,True,5,76.8,17.16306968733536,,,,,0.4082678415495753,0.03176456645939336,,,0.3988462410237811,0.04151066182782885,0.6779993252361673,0.08126419736179537
EXP-B2,pascal_b,M7,low_quality_other,63,False,5,12.6,19.69695673838828,,,,,0.75,0.25,,,0.4104912280701754,0.11400032158597546,0.9371428571428572,0.0627596646756823
EXP-B2,pascal_b,M7,noisy,14,False,4,3.5,3.657809223214286,,,,,0.7708333333333333,0.20833333333333331,,,0.39242424242424245,0.1407234213563358,0.7767857142857143,0.2110368797766171
EXP-C1-two_class,circor_murmur,M3,clean,1612,True,5,322.4,9.895394045307905,0.3073381848519349,0.08618829713068042,0.9859264998809827,0.008759288936209756,0.6466323423664588,0.04472943053975908,0.7608535937082168,0.08114102871213638,,,0.8167535622443769,0.027941538155461028
EXP-C1-two_class,circor_murmur,M3,low_quality_other,7,False,4,1.75,10.16968475,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,,,0.75,0.28867513459481287
EXP-C1-two_class,circor_murmur,M3,noisy,1388,True,5,277.6,0.9653655117467308,0.14077948340840152,0.05916583761982317,0.9939952197504883,0.0024953255878979843,0.567387351579445,0.029049101985364048,0.7039795965522403,0.052460327181700794,,,0.8631719902930106,0.008926327824780724
