task,model_id,kind,fold_label,family,n_features,total_importance,positive_importance,mean_importance,max_importance,n_negative,share_of_positive,net_is_negative
binary,M4,impurity,r0f0,dwt,24,0.296422758880431,0.296422758880431,0.012350948286684626,0.05953214018666161,0,0.29642275888043107,False
binary,M4,impurity,r0f0,envelope,5,0.023164408041291974,0.023164408041291974,0.004632881608258395,0.00802478924005196,0,0.023164408041291978,False
binary,M4,impurity,r0f0,frequency,22,0.10925390065614236,0.10925390065614236,0.004966086393461016,0.012395675910661416,0,0.10925390065614238,False
binary,M4,impurity,r0f0,mfcc,39,0.27032481236158373,0.27032481236158373,0.006931405445168814,0.060856126553966286,0,0.2703248123615838,False
binary,M4,impurity,r0f0,time,24,0.20879669894219843,0.20879669894219843,0.008699862455924934,0.06646062669788995,0,0.20879669894219846,False
binary,M4,permutation,r0f0,chroma,24,-0.016790967931745567,0.008197999411591316,-0.0006996236638227319,0.0037878787878786735,12,0.05221097995128228,True
binary,M4,permutation,r0f0,dwt,24,0.031587967049131215,0.0406376875551627,0.0013161652937138007,0.013270079435127946,7,0.25881112984822996,False
binary,M4,permutation,r0f0,envelope,5,-0.0031943218593705747,0.0007480141218004999,-0.0006388643718741149,0.0007480141218004999,4,0.004763912310286569,True
binary,M4,permutation,r0f0,frequency,22,0.0047182994998519155,0.023489261547513487,0.00021446815908417798,0.004876434245366212,11,0.14959715195802825,False
binary,M4,permutation,r0f0,mfcc,39,0.0035547219770505484,0.041136363636362805,9.114671736027047e-05,0.017454398352456556,20,0.2619870713884196,False
binary,M4,permutation,r0f0,time,24,0.005474404236539342,0.0428074433656954,0.0002281001765224726,0.03471609296852011,13,0.27262975454375327,False
binary,M5,impurity,r0f0,chroma,24,0.04157646546130512,0.04157646546130512,0.00173235272755438,0.005370382534747981,0,0.041576465461305126,False
binary,M5,impurity,r0f0,dwt,24,0.3047054122590309,0.3047054122590309,0.012696058844126288,0.12677498174141705,0,0.30470541225903097,False
binary,M5,impurity,r0f0,envelope,5,0.012291175930526746,0.012291175930526746,0.002458235186105349,0.003911541810290398,0,0.012291175930526747,False
binary,M5,impurity,r0f0,frequency,22,0.03773179709330901,0.03773179709330901,0.0017150816860595005,0.009981183842518709,0,0.03773179709330902,False
binary,M5,impurity,r0f0,mfcc,39,0.3518827408674825,0.3518827408674825,0.0090226343812175,0.2389503899065318,0,0.35188274086748256,False
binary,M5,impurity,r0f0,time,24,0.25181240838834584,0.25181240838834584,0.010492183682847744,0.15642384366153847,0,0.2518124083883459,False
binary,M5,permutation,r0f0,chroma,24,0.007908208296557605,0.02040526625478077,0.00032950867902323353,0.006915269196822593,8,0.18644990456732735,False
binary,M5,permutation,r0f0,dwt,24,0.005739923506913595,0.027189614592527105,0.00023916347945473313,0.011340835539864647,9,0.24844081830156717,False
binary,M5,permutation,r0f0,envelope,5,-0.003873933509855954,0.002040305972344758,-0.0007747867019711908,0.002040305972344758,4,0.018642974273501596,True
binary,M5,permutation,r0f0,frequency,22,-0.015647249190938874,0.007120476610767801,-0.0007112385995881307,0.003603265666372446,13,0.0650622328557215,True
binary,M5,permutation,r0f0,mfcc,39,0.004805825242718069,0.03255957634598404,0.0001232262882748223,0.013125183877611002,22,0.29750799752681567,False
binary,M5,permutation,r0f0,time,24,-0.01691159164460152,0.020125772285966414,-0.0007046496518583967,0.015384671962341844,12,0.18389607247506679,True
binary,M8,impurity,r0f0,chroma,24,0.0974545661592856,0.0974545661592856,0.004060606923303567,0.007459516637027264,0,0.09745456319535097,False
binary,M8,impurity,r0f0,dwt,24,0.3139045920688659,0.3139045920688659,0.013079358002869412,0.06354312598705292,0,0.313904582521928,False
binary,M8,impurity,r0f0,envelope,5,0.019907524343580008,0.019907524343580008,0.003981504868716001,0.006006993353366852,0,0.01990752373812248,False
binary,M8,impurity,r0f0,frequency,22,0.15034351963549852,0.15034351963549852,0.006833796347068114,0.031063085421919823,0,0.1503435150630256,False
binary,M8,impurity,r0f0,mfcc,39,0.22106051654554904,0.22106051654554904,0.005668218372962796,0.061103399842977524,0,0.22106050982232459,False
binary,M8,impurity,r0f0,time,24,0.19732931166072376,0.19732931166072376,0.008222054652530156,0.0747036263346672,0,0.19732930565924836,False
binary,M8,permutation,r0f0,chroma,24,0.038044277728743615,0.05657619888202398,0.0015851782386976506,0.00806119446896143,7,0.094795671891945,False
binary,M8,permutation,r0f0,dwt,24,0.1543556928508384,0.15706604883789343,0.006431487202118266,0.06475948808473078,2,0.2631704130927734,False
