task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,time_zcr_std,0.0030135553913419066,0.008251906656025838,-0.005203195896626567,0.015160781512730093,71.0,43.087121045621046,27,122,5,2,42
binary,M1,permutation,freq_flux_mean,0.0029046585457145977,0.007599960350724005,-0.0045642195213488335,0.01485583995292734,62.6,39.30394382247155,16,110,5,3,43
binary,M1,permutation,freq_band_power_350_400,0.002739514437129784,0.005629655006901308,-0.0032614971563844517,0.010991178874390528,66.4,44.92549387597203,18,123,5,3,44
binary,M1,permutation,freq_band_power_100_150,0.002492521794190854,0.00991107619889912,-0.01390484713761948,0.012388326804385175,58.4,45.10321496301566,17,126,5,4,45
binary,M1,permutation,mfcc_08_mean,0.0022307957866553505,0.007935145022900596,-0.004847775524809195,0.015514121800529556,66.0,32.39598740585013,15,103,5,3,46
binary,M1,permutation,mfcc_03_delta_mean,0.0022282981494631928,0.003937789284174067,-0.004509333253816838,0.005186819652839103,57.2,32.82834141408914,28,99,5,4,47
binary,M1,permutation,chroma_03_std,0.0021789144436800646,0.006234818662908162,-0.007278745229007688,0.0096312664613187,60.0,35.34119409414458,35,121,5,4,48
binary,M1,permutation,dwt_cD4_energy,0.002008796567828719,0.011586948228948332,-0.012507578163341948,0.017037185839917847,65.4,47.30010570812713,25,125,5,3,49
binary,M1,permutation,freq_flatness_std,0.001613904711745533,0.002027943571967544,0.0,0.005030891438658436,56.6,25.274493071078595,40,101,5,4,50
binary,M1,permutation,time_skewness,0.001586136684131727,0.002502588131377355,-0.0008711279193972965,0.004986384536404609,60.6,18.21537811850196,36,87,5,3,51
binary,M1,permutation,chroma_12_mean,0.0014799043686742654,0.005415809331701682,-0.005494841364503877,0.006992840439966475,76.8,42.640356471305445,28,113,5,2,52
binary,M1,permutation,dwt_cD3_energy,0.001437799532780535,0.004321059827148104,-0.004686009064885577,0.006234675760223208,67.2,35.64687924629588,24,105,5,3,53
binary,M1,permutation,mfcc_04_delta_mean,0.0014112140733133671,0.0018494037244603616,-0.0009259793873957368,0.003849530526911016,59.2,15.449919093639293,42,75,5,4,54
binary,M1,permutation,mfcc_12_delta_mean,0.0010355730349493532,0.0033498660339301533,-0.0026628101145038663,0.006326354478222685,72.2,20.0922870773837,47,95,5,3,55
binary,M1,permutation,dwt_cD5_energy,0.0009346803061208765,0.010300112333308579,-0.012356870229007689,0.01505239758653536,80.0,51.4052526498995,16,137,5,3,56
binary,M1,permutation,chroma_06_mean,0.0008188707624309365,0.005484602769054513,-0.007491948950381755,0.0068382363882564575,68.8,32.30634612580011,46,124,5,3,57
binary,M1,permutation,time_mean,0.0005622595658098728,0.0020310905489882534,-0.0009746588693957392,0.004069579288025904,70.8,31.72853605195172,48,124,5,2,58
binary,M1,permutation,time_std,0.0005263408314042439,0.0010287860383760507,-2.113688245075629e-05,0.002360253015592828,69.2,22.44326179502436,47,102,5,3,59
binary,M1,permutation,time_var,0.0005263408314042439,0.0010287860383760507,-2.113688245075629e-05,0.002360253015592828,69.2,22.44326179502436,47,102,5,3,59
binary,M1,permutation,time_rms,0.0005263408314042439,0.0010287860383760507,-2.113688245075629e-05,0.002360253015592828,69.2,22.44326179502436,47,102,5,3,59
binary,M1,permutation,time_hjorth_activity,0.0005263408314042439,0.0010287860383760507,-2.113688245075629e-05,0.002360253015592828,69.2,22.44326179502436,47,102,5,3,59
binary,M1,permutation,time_kurtosis,0.0005104625127516504,0.0022229791699848816,-0.002811205365949887,0.0033311268020006168,71.8,36.00277767061869,34,112,5,3,63
binary,M1,permutation,time_autocorr_peak_lag,0.00046084370748693986,0.007055507860090926,-0.004946735056224105,0.012684701575822544,80.8,38.33666652175173,34,121,5,1,64
binary,M1,permutation,freq_rolloff95_std,0.00045668187673405353,0.010036310642396445,-0.008885227814885554,0.014471824174516024,87.8,52.94053267582411,30,135,5,2,65
binary,M1,permutation,env_mean,0.00041403051711120365,0.004142427120545033,-0.006745287104131237,0.0036304270038167497,68.2,34.62224718298915,27,104,5,4,66
binary,M1,permutation,freq_flux_std,0.0004117042230427703,0.002938882542236057,-0.0044638990732989384,0.002759772285319706,64.2,27.188232748746287,35,95,5,4,67
binary,M1,permutation,freq_flatness_mean,0.0003292988925856921,0.0012887232302915854,-0.0011194029850746467,0.0018036806357974334,70.6,22.60088493842664,40,94,5,3,68
binary,M1,permutation,mfcc_05_delta_mean,0.00024470217418607996,0.0006031341939594811,-9.746588693957393e-05,0.0013209767578699738,76.2,26.892378102354577,50,114,5,1,69
binary,M1,permutation,dwt_cD1_std,0.00023429310123362687,0.0052678194969981865,-0.005672256546042953,0.006770547648604142,77.2,46.93293086948651,29,136,5,3,70
