task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M1,permutation,dwt_cD3_energy,-0.0003008237716975337,0.004103505579627672,balanced_accuracy,10,647,held-out fold,105
binary,r0f0,M1,permutation,mfcc_11_std,-0.0005729626360694185,0.005012188741836617,balanced_accuracy,10,647,held-out fold,106
binary,r0f0,M1,permutation,mfcc_07_delta_mean,-0.0005729626360694406,0.001902011948062411,balanced_accuracy,10,647,held-out fold,107
binary,r0f0,M1,permutation,chroma_07_mean,-0.0006796116504854011,0.0029676186695590284,balanced_accuracy,10,647,held-out fold,108
binary,r0f0,M1,permutation,mfcc_07_std,-0.0009326272433068273,0.002614107593237654,balanced_accuracy,10,647,held-out fold,109
binary,r0f0,M1,permutation,mfcc_01_delta_mean,-0.0010775228008237602,0.0034526355842093626,balanced_accuracy,10,647,held-out fold,110
binary,r0f0,M1,permutation,mfcc_09_mean,-0.0012525742865548862,0.0018930931536457855,balanced_accuracy,10,647,held-out fold,111
binary,r0f0,M1,permutation,dwt_cA5_mean_abs,-0.0013989408649602631,0.0024282246560840552,balanced_accuracy,10,647,held-out fold,112
binary,r0f0,M1,permutation,freq_rolloff95_std,-0.0016026772580170268,0.004946830715267306,balanced_accuracy,10,647,held-out fold,113
binary,r0f0,M1,permutation,mfcc_02_delta_mean,-0.001602677258017038,0.001947879542056673,balanced_accuracy,10,647,held-out fold,114
binary,r0f0,M1,permutation,chroma_11_std,-0.0016218005295675075,0.0026554947348223627,balanced_accuracy,10,647,held-out fold,115
binary,r0f0,M1,permutation,dwt_cD4_std,-0.0016821123859958708,0.007632448299368134,balanced_accuracy,10,647,held-out fold,116
binary,r0f0,M1,permutation,chroma_10_mean,-0.001709326272433065,0.003949291396958859,balanced_accuracy,10,647,held-out fold,117
binary,r0f0,M1,permutation,time_autocorr_peak_lag,-0.0018939393939393923,0.001893939393939392,balanced_accuracy,10,647,held-out fold,118
binary,r0f0,M1,permutation,dwt_cD5_mean_abs,-0.00220432480141215,0.002952256923836837,balanced_accuracy,10,647,held-out fold,119
binary,r0f0,M1,permutation,mfcc_06_mean,-0.0023793762871432535,0.0027790447242250463,balanced_accuracy,10,647,held-out fold,120
binary,r0f0,M1,permutation,mfcc_07_mean,-0.00266548984995586,0.009116084625565854,balanced_accuracy,10,647,held-out fold,121
binary,r0f0,M1,permutation,dwt_cD1_energy,-0.0028552515445718907,0.0026852554576196476,balanced_accuracy,10,647,held-out fold,122
binary,r0f0,M1,permutation,dwt_cD2_std,-0.0035841423948219987,0.004679177382768072,balanced_accuracy,10,647,held-out fold,123
binary,r0f0,M1,permutation,mfcc_05_mean,-0.0036032656663724572,0.0035649948439086805,balanced_accuracy,10,647,held-out fold,124
binary,r0f0,M1,permutation,mfcc_13_std,-0.0037783171521035496,0.004265718421975394,balanced_accuracy,10,647,held-out fold,125
binary,r0f0,M1,permutation,dwt_cA5_std,-0.0037878787878787624,0.002473105062127024,balanced_accuracy,10,647,held-out fold,126
binary,r0f0,M1,permutation,mfcc_11_mean,-0.0037878787878787732,0.005176209816406939,balanced_accuracy,10,647,held-out fold,127
binary,r0f0,M1,permutation,chroma_10_std,-0.003807002059429221,0.001704808496264314,balanced_accuracy,10,647,held-out fold,128
binary,r0f0,M1,permutation,freq_rolloff85_std,-0.003961459252721356,0.005920770631549474,balanced_accuracy,10,647,held-out fold,129
binary,r0f0,M1,permutation,freq_bandwidth_mean,-0.004117387466902012,0.00485893564114163,balanced_accuracy,10,647,held-out fold,130
binary,r0f0,M1,permutation,dwt_cD4_mean_abs,-0.004215945866431314,0.00450142943687174,balanced_accuracy,10,647,held-out fold,131
binary,r0f0,M1,permutation,mfcc_03_mean,-0.004698440717858188,0.006217532859734719,balanced_accuracy,10,647,held-out fold,132
binary,r0f0,M1,permutation,mfcc_02_mean,-0.005231685789938201,0.01181237973505619,balanced_accuracy,10,647,held-out fold,133
binary,r0f0,M1,permutation,time_energy,-0.005438364224771996,0.0031792811385035,balanced_accuracy,10,647,held-out fold,134
binary,r0f0,M1,permutation,time_duration,-0.005438364224771996,0.0031792811385035,balanced_accuracy,10,647,held-out fold,134
binary,r0f0,M1,permutation,dwt_cD1_std,-0.005672256546042953,0.003979695790224717,balanced_accuracy,10,647,held-out fold,136
binary,r0f0,M1,permutation,mfcc_01_mean,-0.006253309796999107,0.004485308652234952,balanced_accuracy,10,647,held-out fold,137
binary,r0f0,M1,permutation,time_hjorth_complexity,-0.007101353339217409,0.007281884927415774,balanced_accuracy,10,647,held-out fold,138
binary,r0f0,M3,permutation,dwt_cD1_entropy,0.0306163577522801,0.00861924928703429,balanced_accuracy,10,647,held-out fold,1
binary,r0f0,M3,permutation,mfcc_04_mean,0.027301412180052952,0.010254829119936568,balanced_accuracy,10,647,held-out fold,2
binary,r0f0,M3,permutation,mfcc_01_std,0.01840467784642539,0.004755834704419888,balanced_accuracy,10,647,held-out fold,3
binary,r0f0,M3,permutation,time_zcr_mean,0.016607825831126764,0.00523275544346022,balanced_accuracy,10,647,held-out fold,4
binary,r0f0,M3,permutation,chroma_03_std,0.014422624301265074,0.003732792605548375,balanced_accuracy,10,647,held-out fold,5
binary,r0f0,M3,permutation,dwt_cA5_energy,0.013461312150632542,0.004750723166137255,balanced_accuracy,10,647,held-out fold,6
binary,r0f0,M3,permutation,mfcc_03_mean,0.013362753751103273,0.004243725467903608,balanced_accuracy,10,647,held-out fold,7
binary,r0f0,M3,permutation,mfcc_02_mean,0.012218299499852902,0.005065402064680594,balanced_accuracy,10,647,held-out fold,8
binary,r0f0,M3,permutation,dwt_cD2_entropy,0.010984848484848476,0.006885643764838077,balanced_accuracy,10,647,held-out fold,9
binary,r0f0,M3,permutation,dwt_cD1_std,0.010411885848779057,0.0022409597104723717,balanced_accuracy,10,647,held-out fold,10
binary,r0f0,M3,permutation,time_skewness,0.009926448955575162,0.006056263922384718,balanced_accuracy,10,647,held-out fold,11
binary,r0f0,M3,permutation,chroma_01_mean,0.008731244483671663,0.004766192182227709,balanced_accuracy,10,647,held-out fold,12
binary,r0f0,M3,permutation,chroma_02_mean,0.008430420711974095,0.002690188747514729,balanced_accuracy,10,647,held-out fold,13
binary,r0f0,M3,permutation,mfcc_03_delta_mean,0.008031038540747293,0.003199598002955314,balanced_accuracy,10,647,held-out fold,14
binary,r0f0,M3,permutation,freq_rolloff85_std,0.007973668726095928,0.0034449953261179466,balanced_accuracy,10,647,held-out fold,15
binary,r0f0,M3,permutation,dwt_cD5_energy,0.0076140041188584974,0.004091875111211076,balanced_accuracy,10,647,held-out fold,16
binary,r0f0,M3,permutation,freq_bandwidth_mean,0.007488231832892012,0.004021694772986898,balanced_accuracy,10,647,held-out fold,17
binary,r0f0,M3,permutation,freq_rolloff95_mean,0.007488231832892001,0.00507733301397527,balanced_accuracy,10,647,held-out fold,18
binary,r0f0,M3,permutation,time_zcr_std,0.0074293909973522036,0.0036686763291786688,balanced_accuracy,10,647,held-out fold,19
binary,r0f0,M3,permutation,dwt_cD3_std,0.007400706090026465,0.004724969471010244,balanced_accuracy,10,647,held-out fold,20
binary,r0f0,M3,permutation,chroma_04_std,0.007400706090026454,0.004541161802793449,balanced_accuracy,10,647,held-out fold,21
