task,model_id,kind,fold_label,feature,mean_abs_shap,mean_signed_shap,n_rows,rank
binary,M5,shap,r0f0,freq_flux_mean,0.05673135669600857,-0.05331319099152157,400,21
binary,M5,shap,r0f0,freq_flux_std,0.00039581541104460416,-0.00011558528340121912,400,132
binary,M5,shap,r0f0,freq_spectral_entropy,0.00790096334705193,0.0015967017100749423,400,101
binary,M5,shap,r0f0,freq_dominant,0.0,0.0,400,137
binary,M5,shap,r0f0,freq_peak_power,0.017711903890946862,0.002179617424182536,400,77
binary,M5,shap,r0f0,freq_total_power,0.012473222658587557,-0.005050756607793267,400,87
binary,M5,shap,r0f0,freq_band_power_20_50,0.03343248612051355,0.004313548631726196,400,49
binary,M5,shap,r0f0,freq_band_power_50_100,0.011905693539751506,-0.010637770662836004,400,90
binary,M5,shap,r0f0,freq_band_power_100_150,0.008285042444693847,-0.0016459493673318909,400,99
binary,M5,shap,r0f0,freq_band_power_150_250,0.05350093186103943,0.02291922549808386,400,27
binary,M5,shap,r0f0,freq_band_power_250_350,0.021188828542217496,-0.005862001759904461,400,71
binary,M5,shap,r0f0,freq_band_power_350_400,0.05485310500163,-0.017247774426261388,400,25
binary,M5,shap,r0f0,mfcc_01_mean,0.024045546100425978,-0.009606574843941378,400,64
binary,M5,shap,r0f0,mfcc_02_mean,0.1263409486014837,-0.0606244654154974,400,11
binary,M5,shap,r0f0,mfcc_03_mean,0.03119615206024527,0.0021592980086789027,400,55
binary,M5,shap,r0f0,mfcc_04_mean,0.7766067442150262,-0.0910483459393794,400,3
binary,M5,shap,r0f0,mfcc_05_mean,0.12213157730852117,-0.0005643178793338783,400,12
binary,M5,shap,r0f0,mfcc_06_mean,0.06505575157810052,-0.007803664261721042,400,20
binary,M5,shap,r0f0,mfcc_07_mean,0.03492817260193115,-0.010674005418696692,400,44
binary,M5,shap,r0f0,mfcc_08_mean,0.008636966549307493,-0.0041313253151959405,400,98
binary,M5,shap,r0f0,mfcc_09_mean,0.01749383403278973,-0.01109775201371521,400,79
binary,M5,shap,r0f0,mfcc_10_mean,0.015607540473041108,-0.005680786660733497,400,83
binary,M5,shap,r0f0,mfcc_11_mean,0.0397875166229114,-0.004917937915588091,400,38
binary,M5,shap,r0f0,mfcc_12_mean,0.05493952133087685,0.009843287481354216,400,24
binary,M5,shap,r0f0,mfcc_13_mean,0.04889108991853999,-0.015669573388493986,400,31
binary,M5,shap,r0f0,mfcc_01_std,0.16875294212775116,-0.018665004955460675,400,6
binary,M5,shap,r0f0,mfcc_02_std,0.00637394892265879,-0.0027769483562512117,400,105
binary,M5,shap,r0f0,mfcc_03_std,0.07972236884100212,-0.012078998054131295,400,16
binary,M5,shap,r0f0,mfcc_04_std,0.0002500276676375857,-0.00014409015070819458,400,133
binary,M5,shap,r0f0,mfcc_05_std,0.17887527500012276,-0.024178066426310218,400,5
binary,M5,shap,r0f0,mfcc_06_std,0.01671642441611552,-0.004420765907939759,400,81
binary,M5,shap,r0f0,mfcc_07_std,0.005543579673649604,-0.001605605551041962,400,109
binary,M5,shap,r0f0,mfcc_08_std,0.03516931386816904,-0.0077823097314102295,400,43
binary,M5,shap,r0f0,mfcc_09_std,0.012124827860332794,0.0036625557404092695,400,89
binary,M5,shap,r0f0,mfcc_10_std,0.04629535712086586,-0.0020978558740104396,400,32
binary,M5,shap,r0f0,mfcc_11_std,0.01106490342277226,-0.0021766573240394943,400,93
binary,M5,shap,r0f0,mfcc_12_std,0.008147539214740427,-0.0002572915272422421,400,100
binary,M5,shap,r0f0,mfcc_13_std,0.01165278602375906,-0.004030169519747177,400,91
binary,M5,shap,r0f0,mfcc_01_delta_mean,0.03610438886858701,-0.010261245989731476,400,42
binary,M5,shap,r0f0,mfcc_02_delta_mean,0.022747860404712095,-0.005592662909793049,400,66
binary,M5,shap,r0f0,mfcc_03_delta_mean,0.03475367977055719,-0.010286080857691463,400,45
binary,M5,shap,r0f0,mfcc_04_delta_mean,0.0038191655373661687,-0.0006465132742805134,400,116
binary,M5,shap,r0f0,mfcc_05_delta_mean,0.009329228775732893,0.0014322214513299344,400,96
binary,M5,shap,r0f0,mfcc_06_delta_mean,0.04223829139641823,-0.012746283237620837,400,34
binary,M5,shap,r0f0,mfcc_07_delta_mean,0.027607159978895887,-0.0041662757968990135,400,58
binary,M5,shap,r0f0,mfcc_08_delta_mean,0.013547741087193541,-0.001324604643811513,400,84
binary,M5,shap,r0f0,mfcc_09_delta_mean,0.0024333917651214497,-0.0006057968001188646,400,123
binary,M5,shap,r0f0,mfcc_10_delta_mean,0.03132296967479164,-0.0013310721046182474,400,54
binary,M5,shap,r0f0,mfcc_11_delta_mean,0.022218958192111667,-0.01669445554443649,400,67
binary,M5,shap,r0f0,mfcc_12_delta_mean,0.005760667805609826,-0.0015009488915028553,400,107
binary,M5,shap,r0f0,mfcc_13_delta_mean,0.028826832044682657,-0.0060014439702837895,400,56
binary,M5,shap,r0f0,chroma_01_mean,0.03872562551283463,-0.0021636656454521786,400,40
binary,M5,shap,r0f0,chroma_02_mean,0.010357156763537899,-0.0029961553671911563,400,94
binary,M5,shap,r0f0,chroma_03_mean,0.0025228969764189853,-0.0012932496297232727,400,122
binary,M5,shap,r0f0,chroma_04_mean,0.026476454758794617,-0.0019360518808905706,400,61
binary,M5,shap,r0f0,chroma_05_mean,0.05594813072852532,0.0010303100512580603,400,23
binary,M5,shap,r0f0,chroma_06_mean,0.0335617713950951,0.0010356839059055532,400,48
binary,M5,shap,r0f0,chroma_07_mean,0.021367304208701015,0.004030206309952821,400,70
binary,M5,shap,r0f0,chroma_08_mean,0.054455303064179755,-0.012252991698579059,400,26
binary,M5,shap,r0f0,chroma_09_mean,0.022065869484724457,-0.007258543432042746,400,68
binary,M5,shap,r0f0,chroma_10_mean,0.02080554085056141,-0.007630525389141435,400,72
binary,M5,shap,r0f0,chroma_11_mean,0.012328300185522962,0.0003002998548707835,400,88
binary,M5,shap,r0f0,chroma_12_mean,0.0752890691509465,0.013359953383804461,400,18
binary,M5,shap,r0f0,chroma_01_std,0.006986101314694324,-0.004949891939224487,400,103
binary,M5,shap,r0f0,chroma_02_std,0.004993856816802724,-0.002224558412278047,400,112
binary,M5,shap,r0f0,chroma_03_std,0.0012036937624325397,0.0011508305500749277,400,127
binary,M5,shap,r0f0,chroma_04_std,0.02067854377456115,-0.009437425607763178,400,73
binary,M5,shap,r0f0,chroma_05_std,0.02738992344788241,-0.005736795343870053,400,59
binary,M5,shap,r0f0,chroma_06_std,0.006562563789453448,-0.0028705396692751965,400,104
binary,M5,shap,r0f0,chroma_07_std,0.02308104302848333,-0.0004418496854670583,400,65
binary,M5,shap,r0f0,chroma_08_std,0.0030480804711405644,-0.0013503621366420127,400,119
binary,M5,shap,r0f0,chroma_09_std,2.8432164145440503e-06,-1.1973729157727707e-06,400,136
binary,M5,shap,r0f0,chroma_10_std,0.04105749869489126,-0.00987122878712566,400,37
binary,M5,shap,r0f0,chroma_11_std,0.026278911364357813,-0.009766007550345634,400,62
binary,M5,shap,r0f0,chroma_12_std,0.0025917954215777376,-0.00044105534957384224,400,121
binary,M5,shap,r0f0,dwt_cA5_energy,0.11039143522361623,0.0016834442866361377,400,13
binary,M5,shap,r0f0,dwt_cD5_energy,0.15894948462054553,-0.0013660931480799035,400,8
binary,M5,shap,r0f0,dwt_cD4_energy,0.022055288346409213,-0.0012301817573105319,400,69
binary,M5,shap,r0f0,dwt_cD3_energy,0.0043800683128971275,0.000155100184799811,400,114
binary,M5,shap,r0f0,dwt_cD2_energy,0.05333074173614969,-0.025208594844503315,400,28
binary,M5,shap,r0f0,dwt_cD1_energy,0.15365651887715606,-0.06478480424349682,400,9
binary,M5,shap,r0f0,dwt_cA5_std,0.018132249990952184,-0.007230746326916527,400,76
binary,M5,shap,r0f0,dwt_cD5_std,0.04360591384962849,0.00017109741342386485,400,33
binary,M5,shap,r0f0,dwt_cD4_std,0.011195448658120848,0.004807757304198629,400,92
binary,M5,shap,r0f0,dwt_cD3_std,0.004730522248945241,-0.00044034148484975986,400,113
binary,M5,shap,r0f0,dwt_cD2_std,0.05121902937445205,-0.03832161531936745,400,29
binary,M5,shap,r0f0,dwt_cD1_std,0.02039693657054202,-0.004657120184409834,400,74
binary,M5,shap,r0f0,dwt_cA5_entropy,0.03174348908315544,-0.02821434924885255,400,53
binary,M5,shap,r0f0,dwt_cD5_entropy,0.00700982972883483,-0.002586442045388503,400,102
binary,M5,shap,r0f0,dwt_cD4_entropy,0.003631105763091438,-0.002428263137812867,400,117
binary,M5,shap,r0f0,dwt_cD3_entropy,0.006154509300061931,-0.00027842906958311007,400,106
binary,M5,shap,r0f0,dwt_cD2_entropy,0.017705745843641495,-0.012857870505087155,400,78
binary,M5,shap,r0f0,dwt_cD1_entropy,0.825946196628647,-0.09873412716270889,400,1
binary,M5,shap,r0f0,dwt_cA5_mean_abs,0.032924755160558684,-0.011210245440082525,400,50
binary,M5,shap,r0f0,dwt_cD5_mean_abs,0.14087786817504225,-0.03074782024252297,400,10
binary,M5,shap,r0f0,dwt_cD4_mean_abs,0.03243349633643621,-0.00368598291055618,400,51
binary,M5,shap,r0f0,dwt_cD3_mean_abs,0.020177576207767344,-0.000910164615214822,400,75
binary,M5,shap,r0f0,dwt_cD2_mean_abs,0.00013845953886840745,-0.0001292943885782264,400,134
binary,M5,shap,r0f0,dwt_cD1_mean_abs,0.0015476409950437367,0.0005684060307502958,400,126
binary,M5,shap,r0f0,env_mean,0.026794300612585194,-0.006865220697005775,400,60
binary,M5,shap,r0f0,env_std,0.04152110367974071,-0.011888601191536684,400,36
binary,M5,shap,r0f0,env_skew,0.042212471550701874,0.004996260138904763,400,35
binary,M5,shap,r0f0,env_kurtosis,0.07544900279095833,-0.013463047143277401,400,17
binary,M5,shap,r0f0,env_peak_rate,0.01621764569494222,-0.0064396837627498475,400,82
binary,M8,shap,r0f0,time_mean,0.022846369072794914,-0.004429107531905174,400,121
binary,M8,shap,r0f0,time_std,0.029440544545650482,-0.007307359017431736,400,110
binary,M8,shap,r0f0,time_var,0.011019173078238964,-0.00038665422471240163,400,132
binary,M8,shap,r0f0,time_min,0.03167705237865448,-0.0056913020089268684,400,104
binary,M8,shap,r0f0,time_max,0.04193601757287979,-0.016018018126487732,400,90
binary,M8,shap,r0f0,time_range,0.09654698520898819,0.0008694315911270678,400,40
binary,M8,shap,r0f0,time_median,0.0407835878431797,-0.02072857692837715,400,94
binary,M8,shap,r0f0,time_iqr,0.5362583994865417,-0.06878174841403961,400,4
binary,M8,shap,r0f0,time_skewness,0.12771384418010712,-0.00876084715127945,400,25
binary,M8,shap,r0f0,time_kurtosis,0.029730314388871193,0.002911348594352603,400,109
binary,M8,shap,r0f0,time_energy,0.32273656129837036,0.05847925692796707,400,8
binary,M8,shap,r0f0,time_rms,0.0,0.0,400,137
binary,M8,shap,r0f0,time_peak_to_peak,0.006612526718527079,6.547031080117449e-05,400,136
binary,M8,shap,r0f0,time_crest_factor,0.08229463547468185,0.0036496585234999657,400,55
binary,M8,shap,r0f0,time_zcr_mean,0.7064914107322693,-0.17273622751235962,400,3
binary,M8,shap,r0f0,time_zcr_std,0.17824611067771912,-0.06569991260766983,400,17
