exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M5,2,1,r2f1,2589,651,0.8208955223880597,0.8955512572533849,0.8582233898207223,0.738255033557047,0.6707317073170732,0.9487283120182454,0.8395982238377363,0.880184331797235,0.6672601688084585,0.1625626112599417,0.0352456399020171
EXP-A1,M5,2,2,r2f2,2585,655,0.8540145985401459,0.9247104247104247,0.8893625116252853,0.7986348122866894,0.75,0.9567257559958292,0.8903990562081816,0.9099236641221374,0.743526962295484,0.1299430522438633,0.0157163299000648
EXP-A1,M5,2,3,r2f3,2597,643,0.8625954198473282,0.91015625,0.8863758349236641,0.7793103448275862,0.710691823899371,0.9518726145038168,0.7721719483030192,0.9004665629860031,0.7214219259210839,0.1518205583356612,0.02207359029337
EXP-A1,M5,2,4,r2f4,2593,647,0.7803030303030303,0.9262135922330096,0.85325831126802,0.7545787545787546,0.7304964539007093,0.9467637540453074,0.7889424846850619,0.8964451313755796,0.6896490614726631,0.1549059150037107,0.0253318157279593
EXP-A1,M5,3,0,r3f0,2596,644,0.7175572519083969,0.8791423001949318,0.7983497760516644,0.6550522648083623,0.6025641025641025,0.9058077764385518,0.7141433827160216,0.8462732919254659,0.5606319342601411,0.2270672934662718,0.0626810876033306
EXP-A1,M5,3,1,r3f1,2593,647,0.8636363636363636,0.9106796116504854,0.8871579876434246,0.7808219178082192,0.7125,0.9518240659017358,0.8227728811681848,0.9010819165378672,0.7232431477443123,0.1553615333651302,0.0305587129448297
EXP-A1,M5,3,2,r3f2,2585,655,0.8602941176470589,0.8805394990366089,0.8704168083418339,0.7428571428571429,0.6536312849162011,0.9488835996826476,0.8184996319587619,0.8763358778625954,0.6742855026177614,0.1689101034069075,0.0188025347371794
EXP-A1,M5,3,3,r3f3,2589,651,0.8,0.9224806201550388,0.8612403100775194,0.7632508833922261,0.7297297297297297,0.9441142693080676,0.8141417221415927,0.8970814132104454,0.6988807636411879,0.1612652077631133,0.0373241025476487
EXP-A1,M5,3,4,r3f4,2597,643,0.7480916030534351,0.9375,0.8427958015267176,0.7509578544061303,0.7538461538461538,0.9367843511450382,0.8280358114786679,0.8989113530326595,0.6875523320074627,0.1544669296147284,0.0219075458135263
EXP-A1,M5,4,0,r4f0,2585,655,0.8235294117647058,0.8477842003853564,0.8356568060750311,0.6850152905198776,0.5863874345549738,0.9136206505723676,0.7291391124348602,0.8427480916030534,0.5991049565315554,0.2287155788670901,0.0501660335469839
