model_id,method,fold_label,repeat,fold,n_train,n_test,fit_seconds,isotonic_below_min_samples,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece
M3,isotonic,r2f2,2,2,2585,655,2.857452700001886,False,0.9038167938931297,0.8291294422681283,0.7007299270072993,0.9575289575289575,0.8135593220338984,0.7529411764705882,0.6966164832254295,0.9428881436180705,0.805812188206587,96.0,22.0,496.0,41.0,655.0,137.0,518.0,0.16594832705578696,0.07727054791254848
M3,isotonic,r2f3,2,3,2597,643,2.8625845999995363,False,0.895800933125972,0.8522036020992366,0.7786259541984732,0.92578125,0.7285714285714285,0.7527675276752768,0.6874583746616048,0.9436426526717557,0.7180152620096029,102.0,38.0,474.0,29.0,643.0,131.0,512.0,0.17190412037955988,0.07543664832934283
M3,isotonic,r2f4,2,4,2593,647,3.0923412999982247,False,0.8778979907264297,0.7909017358046484,0.6439393939393939,0.9378640776699029,0.7264957264957265,0.6827309236947792,0.6091665150180032,0.9192924389526331,0.6830425304789106,85.0,32.0,483.0,47.0,647.0,132.0,515.0,0.18664341717488522,0.04496435192650671
M3,isotonic,r3f0,3,0,2596,644,2.7490067000035197,False,0.827639751552795,0.7383375742154368,0.5877862595419847,0.8888888888888888,0.5746268656716418,0.5811320754716981,0.4726931987896082,0.8717542371620315,0.5535250642244351,77.0,57.0,456.0,54.0,644.0,131.0,513.0,0.23746892457704294,0.02540876417285383
M3,isotonic,r3f1,3,1,2593,647,2.7965847000014037,False,0.893353941267388,0.8344145336863784,0.7348484848484849,0.9339805825242719,0.7404580152671756,0.7376425855513308,0.6707261222514261,0.9369005589879377,0.7224116677390084,97.0,34.0,481.0,35.0,647.0,132.0,515.0,0.16583012496073002,0.03659800951020159
M3,isotonic,r3f2,3,2,2585,655,2.9680469000013545,False,0.8977099236641222,0.8377819335826817,0.7352941176470589,0.9402697495183044,0.7633587786259542,0.7490636704119851,0.68504366558351,0.9469001473421739,0.8038879954895488,100.0,31.0,488.0,36.0,655.0,136.0,519.0,0.17430876721497288,0.09346293093728564
M3,isotonic,r3f3,3,3,2589,651,2.975556500001403,False,0.9062980030721967,0.836972437553833,0.7185185185185186,0.9554263565891473,0.8083333333333333,0.7607843137254902,0.7046577400617945,0.9342664369796152,0.7636735952298077,97.0,23.0,493.0,38.0,651.0,135.0,516.0,0.1740232459592273,0.08014405361056955
M3,isotonic,r3f4,3,4,2597,643,2.708980600000359,False,0.8849144634525661,0.80276419370229,0.6641221374045801,0.94140625,0.7435897435897436,0.7016129032258065,0.6321488223516867,0.9213979007633588,0.7502027420402005,87.0,30.0,482.0,44.0,643.0,131.0,512.0,0.18305479375079778,0.05963872289586193
M3,isotonic,r4f0,4,0,2585,655,2.808200899999065,False,0.833587786259542,0.7566233140655105,0.625,0.8882466281310212,0.5944055944055944,0.6093189964157706,0.5039369913212348,0.894990366088632,0.6160561619779097,85.0,58.0,461.0,51.0,655.0,136.0,519.0,0.22888381085131654,0.033219094481001424
M3,isotonic,r4f1,4,1,2596,644,2.8338968999960343,False,0.8913043478260869,0.7925092629793313,0.6259541984732825,0.9590643274853801,0.7961165048543689,0.7008547008547008,0.6424609043669939,0.9377483148073746,0.7854259516878576,82.0,21.0,492.0,49.0,644.0,131.0,513.0,0.16767182437442169,0.0601564851649756
M3,isotonic,r4f2,4,2,2593,647,1.7020546999992803,False,0.8809891808346213,0.7872094733745219,0.6287878787878788,0.945631067961165,0.7477477477477478,0.6831275720164609,0.614010011206519,0.928611356281259,0.7498441369887854,83.0,28.0,487.0,49.0,647.0,132.0,515.0,0.1730872209544868,0.0371448357900655
M3,isotonic,r4f3,4,3,2589,651,2.3407842999949935,False,0.8955453149001537,0.8356589147286821,0.7333333333333333,0.937984496124031,0.7557251908396947,0.7443609022556391,0.6788637161088318,0.9440353143841516,0.7461549221916965,99.0,32.0,484.0,36.0,651.0,135.0,516.0,0.1744912932454391,0.0805716952949023
M3,isotonic,r4f4,4,4,2597,643,1.4437051999993855,False,0.8740279937791602,0.7902477934160306,0.648854961832061,0.931640625,0.7083333333333334,0.6772908366533864,0.6001061579301054,0.9039315958969466,0.6467212931162605,85.0,35.0,477.0,46.0,643.0,131.0,512.0,0.2014347471989883,0.049277374572304904
