run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M3,r2f0,5,644,0.22263732351687995,0.03594338282999998,0.8150387699370856,0.8385093167701864,-0.02347054683310079
EXP-A1,binary,M3,r2f0,10,644,0.22263732351687995,0.035943382829999926,0.8150387699370856,0.8385093167701864,-0.02347054683310079
EXP-A1,binary,M3,r2f0,15,644,0.22263732351687995,0.0421272970608359,0.8150387699370856,0.8385093167701864,-0.02347054683310079
EXP-A1,binary,M3,r2f0,20,644,0.22263732351687995,0.04093532749509245,0.8150387699370856,0.8385093167701864,-0.02347054683310079
EXP-A1,binary,M3,r2f1,5,651,0.17303300873938043,0.05071069375119351,0.8325458346666252,0.8832565284178188,-0.050710693751193525
EXP-A1,binary,M3,r2f1,10,651,0.17303300873938043,0.050710693751193525,0.8325458346666252,0.8832565284178188,-0.050710693751193525
EXP-A1,binary,M3,r2f1,15,651,0.17303300873938043,0.05542637783343163,0.8325458346666252,0.8832565284178188,-0.050710693751193525
EXP-A1,binary,M3,r2f1,20,651,0.17303300873938043,0.05591376990919269,0.8325458346666252,0.8832565284178188,-0.050710693751193525
EXP-A1,binary,M3,r2f2,5,655,0.1615207166129606,0.0796648001303025,0.827205428877331,0.9068702290076336,-0.07966480013030264
EXP-A1,binary,M3,r2f2,10,655,0.1615207166129606,0.07966480013030268,0.827205428877331,0.9068702290076336,-0.07966480013030264
EXP-A1,binary,M3,r2f2,15,655,0.1615207166129606,0.07966480013030258,0.827205428877331,0.9068702290076336,-0.07966480013030264
EXP-A1,binary,M3,r2f2,20,655,0.1615207166129606,0.07966480013030264,0.827205428877331,0.9068702290076336,-0.07966480013030264
EXP-A1,binary,M3,r2f3,5,643,0.16854596989318235,0.07614005636980359,0.816550456849481,0.8926905132192846,-0.07614005636980359
EXP-A1,binary,M3,r2f3,10,643,0.16854596989318235,0.07614005636980359,0.816550456849481,0.8926905132192846,-0.07614005636980359
EXP-A1,binary,M3,r2f3,15,643,0.16854596989318235,0.08171968555932102,0.816550456849481,0.8926905132192846,-0.07614005636980359
EXP-A1,binary,M3,r2f3,20,643,0.16854596989318235,0.07614005636980364,0.816550456849481,0.8926905132192846,-0.07614005636980359
EXP-A1,binary,M3,r2f4,5,647,0.18101022874570458,0.03634201478703232,0.8423921495800509,0.8763523956723338,-0.033960246092282875
EXP-A1,binary,M3,r2f4,10,647,0.18101022874570458,0.036342014787032285,0.8423921495800509,0.8763523956723338,-0.033960246092282875
EXP-A1,binary,M3,r2f4,15,647,0.18101022874570458,0.04445640733323499,0.8423921495800509,0.8763523956723338,-0.033960246092282875
EXP-A1,binary,M3,r2f4,20,647,0.18101022874570458,0.0441148607929813,0.8423921495800509,0.8763523956723338,-0.033960246092282875
EXP-A1,binary,M3,r3f0,5,644,0.2365680006506637,0.03515543646733137,0.8230313107811661,0.8260869565217391,-0.003055645740573043
EXP-A1,binary,M3,r3f0,10,644,0.2365680006506637,0.03970166163286317,0.8230313107811661,0.8260869565217391,-0.003055645740573043
EXP-A1,binary,M3,r3f0,15,644,0.2365680006506637,0.051957219162440865,0.8230313107811661,0.8260869565217391,-0.003055645740573043
EXP-A1,binary,M3,r3f0,20,644,0.2365680006506637,0.05818693643996251,0.8230313107811661,0.8260869565217391,-0.003055645740573043
EXP-A1,binary,M3,r3f1,5,647,0.16625375044065727,0.038191573852077235,0.8480946570140738,0.8809891808346213,-0.03289452382054747
EXP-A1,binary,M3,r3f1,10,647,0.16625375044065727,0.038191573852077304,0.8480946570140738,0.8809891808346213,-0.03289452382054747
EXP-A1,binary,M3,r3f1,15,647,0.16625375044065727,0.042849956536770026,0.8480946570140738,0.8809891808346213,-0.03289452382054747
EXP-A1,binary,M3,r3f1,20,647,0.16625375044065727,0.045612269896079825,0.8480946570140738,0.8809891808346213,-0.03289452382054747
EXP-A1,binary,M3,r3f2,5,655,0.16615256099724718,0.0961555801106419,0.8076612137824878,0.9038167938931297,-0.09615558011064196
EXP-A1,binary,M3,r3f2,10,655,0.16615256099724718,0.09615558011064207,0.8076612137824878,0.9038167938931297,-0.09615558011064196
EXP-A1,binary,M3,r3f2,15,655,0.16615256099724718,0.09615558011064193,0.8076612137824878,0.9038167938931297,-0.09615558011064196
EXP-A1,binary,M3,r3f2,20,655,0.16615256099724718,0.096155580110642,0.8076612137824878,0.9038167938931297,-0.09615558011064196
EXP-A1,binary,M3,r3f3,5,651,0.16789089431576656,0.07533127004618023,0.824822339784849,0.9001536098310292,-0.07533127004618023
EXP-A1,binary,M3,r3f3,10,651,0.16789089431576656,0.07533127004618019,0.824822339784849,0.9001536098310292,-0.07533127004618023
EXP-A1,binary,M3,r3f3,15,651,0.16789089431576656,0.07533127004618015,0.824822339784849,0.9001536098310292,-0.07533127004618023
EXP-A1,binary,M3,r3f3,20,651,0.16789089431576656,0.07533127004618016,0.824822339784849,0.9001536098310292,-0.07533127004618023
EXP-A1,binary,M3,r3f4,5,643,0.17910080897326727,0.05548854730920087,0.8294259161433651,0.8849144634525661,-0.05548854730920094
EXP-A1,binary,M3,r3f4,10,643,0.17910080897326727,0.05548854730920097,0.8294259161433651,0.8849144634525661,-0.05548854730920094
EXP-A1,binary,M3,r3f4,15,643,0.17910080897326727,0.05548854730920094,0.8294259161433651,0.8849144634525661,-0.05548854730920094
EXP-A1,binary,M3,r3f4,20,643,0.17910080897326727,0.05548854730920092,0.8294259161433651,0.8849144634525661,-0.05548854730920094
EXP-A1,binary,M3,r4f0,5,655,0.21843883870627995,0.040939096992258325,0.8061208848401654,0.8366412213740458,-0.03052033653388042
EXP-A1,binary,M3,r4f0,10,655,0.21843883870627995,0.040939096992258436,0.8061208848401654,0.8366412213740458,-0.03052033653388042
EXP-A1,binary,M3,r4f0,15,655,0.21843883870627995,0.04684627048595061,0.8061208848401654,0.8366412213740458,-0.03052033653388042
EXP-A1,binary,M3,r4f0,20,655,0.21843883870627995,0.04524605808646518,0.8061208848401654,0.8366412213740458,-0.03052033653388042
EXP-A1,binary,M3,r4f1,5,644,0.16401406594751505,0.0603267434070348,0.832203316434517,0.8881987577639752,-0.05599544132945822
EXP-A1,binary,M3,r4f1,10,644,0.16401406594751505,0.060326743407034755,0.832203316434517,0.8881987577639752,-0.05599544132945822
EXP-A1,binary,M3,r4f1,15,644,0.16401406594751505,0.06032674340703483,0.832203316434517,0.8881987577639752,-0.05599544132945822
