run,task,model_id,kind,n_bins,bin,bin_low,bin_high,confidence_mean,accuracy_mean,accuracy_sd,n_folds,n_records,n_classes
EXP-B2,pascal_b,M7,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6545887592688541,0.7107153598281418,0.13698308756409866,5,165,3
EXP-B2,pascal_b,M7,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7396542729209978,0.7713854692948124,0.04894047982543644,5,139,3
EXP-B2,pascal_b,M7,confidence_vs_accuracy,10,8,0.8,0.9,0.8255218348358959,0.9,0.14142135623730948,2,9,3
EXP-B2,pascal_b,M7,confidence_vs_accuracy,10,9,0.9,1.0,0.9239161804379198,1.0,,1,1,3
EXP-C1-three_class,circor_murmur,M3,confidence_vs_accuracy,10,4,0.4,0.5,0.48709135916867136,0.49948051948051947,0.09010123426975747,5,59,3
EXP-C1-three_class,circor_murmur,M3,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5411619310040611,0.5758126585194254,0.12059801123959592,5,124,3
EXP-C1-three_class,circor_murmur,M3,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6516996081056414,0.7416100480569658,0.07929013888157371,5,322,3
EXP-C1-three_class,circor_murmur,M3,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7850813212236425,0.7960346381385291,0.010831731271251635,5,1068,3
EXP-C1-three_class,circor_murmur,M3,confidence_vs_accuracy,10,8,0.8,0.9,0.8211036044848573,0.8337994390738752,0.027034843614422634,5,1589,3
EXP-C1-three_class,circor_murmur,M3,confidence_vs_accuracy,10,9,0.9,1.0,0.9007596787178169,1.0,,1,1,3
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.3784554631723388,0.5707875457875458,0.13108004356390063,5,112,3
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,4,0.4,0.5,0.4574757495245135,0.6151324166030048,0.10663541575204033,5,548,3
